species_binomial,japan38_member_ids,n_japan38_paper_concepts,azami_exhaustive_source_present,n_all_observations,n_all_photos,n_detected_observations,n_detected_photos,strict_spatial_n,strict_orientation_n,strict_colour_n,strict_shape_n,coverage_state
Cirsium abukumense,JPN_01,1,no,0,0,0,0,0,0,0,0,absent_from_current_azami_source_pool
Cirsium aidzuense,JPN_02,1,no,0,0,0,0,0,0,0,0,absent_from_current_azami_source_pool
Cirsium alpicola,JPN_03,1,no,0,0,0,0,0,0,0,0,absent_from_current_azami_source_pool
Cirsium amplexifolium,JPN_04,1,yes,1,2,1,2,0,0,0,0,detected_but_not_strict_spatial
Cirsium aomorense,JPN_05,1,yes,14,33,14,30,3,3,3,3,detected_and_strict_spatial
Cirsium buergeri,JPN_32,1,yes,1,2,1,1,1,1,1,1,detected_and_strict_spatial
Cirsium dipsacolepis,JPN_06,1,no,0,0,0,0,0,0,0,0,absent_from_current_azami_source_pool
Cirsium domonii,JPN_07,1,no,0,0,0,0,0,0,0,0,absent_from_current_azami_source_pool
Cirsium effusum,JPN_33,1,no,0,0,0,0,0,0,0,0,absent_from_current_azami_source_pool
Cirsium funagataense,JPN_08,1,no,0,0,0,0,0,0,0,0,absent_from_current_azami_source_pool
Cirsium gyojanum,JPN_09,1,no,0,0,0,0,0,0,0,0,absent_from_current_azami_source_pool
Cirsium ishidatense,JPN_10,1,no,0,0,0,0,0,0,0,0,absent_from_current_azami_source_pool
Cirsium ishizuchiense,JPN_11,1,no,0,0,0,0,0,0,0,0,absent_from_current_azami_source_pool
Cirsium japonicum,JPN_12,1,yes,955,1696,917,1566,196,167,187,184,detected_and_strict_spatial
Cirsium kamtschaticum,JPN_37,1,yes,651,1137,559,893,103,81,92,89,detected_and_strict_spatial
Cirsium kasaianum,JPN_13,1,no,0,0,0,0,0,0,0,0,absent_from_current_azami_source_pool
Cirsium kiotoense,JPN_14,1,no,0,0,0,0,0,0,0,0,absent_from_current_azami_source_pool
Cirsium lineare,JPN_15,1,yes,58,189,55,163,2,1,2,2,detected_and_strict_spatial
Cirsium magofukui,JPN_16,1,no,0,0,0,0,0,0,0,0,absent_from_current_azami_source_pool
Cirsium maritimum,JPN_17,1,yes,32,71,30,66,14,13,14,13,detected_and_strict_spatial
Cirsium matsumurae,JPN_18,1,yes,1,1,1,1,0,0,0,0,detected_but_not_strict_spatial
Cirsium microspicatum,JPN_34,1,yes,1,5,1,5,0,0,0,0,detected_but_not_strict_spatial
Cirsium nippoense,JPN_19,1,no,0,0,0,0,0,0,0,0,absent_from_current_azami_source_pool
Cirsium nipponicum,JPN_20|JPN_21|JPN_35,3,yes,2,8,2,8,1,1,1,1,detected_and_strict_spatial
Cirsium norikurense,JPN_22,1,yes,2,4,2,3,1,1,1,1,detected_and_strict_spatial
Cirsium oligophyllum,JPN_23,1,yes,57,87,57,85,20,18,20,20,detected_and_strict_spatial
Cirsium pendulum,JPN_38,1,yes,206,482,173,344,54,37,42,41,detected_and_strict_spatial
Cirsium pseudosuffultum,JPN_24,1,no,0,0,0,0,0,0,0,0,absent_from_current_azami_source_pool
Cirsium shidokimontanum,JPN_25,1,no,0,0,0,0,0,0,0,0,absent_from_current_azami_source_pool
Cirsium sieboldii,JPN_36,1,yes,16,30,16,28,10,9,10,9,detected_and_strict_spatial
Cirsium spicatum,JPN_26,1,yes,1,1,1,1,1,1,1,1,detected_and_strict_spatial
Cirsium suzukaense,JPN_27,1,yes,7,19,7,19,4,4,4,4,detected_and_strict_spatial
Cirsium uzenense,JPN_28,1,no,0,0,0,0,0,0,0,0,absent_from_current_azami_source_pool
Cirsium verutum,JPN_29,1,yes,18,31,15,24,9,9,9,9,detected_and_strict_spatial
Cirsium yezoense,JPN_30,1,yes,8,15,8,14,3,1,3,2,detected_and_strict_spatial
Cirsium yuki-uenoanum,JPN_31,1,no,0,0,0,0,0,0,0,0,absent_from_current_azami_source_pool
