tree_code,biosample,run,experiment,voucher_and_herbarium,region_class,geographic_location,sra_link_status,scope_class,tree_code_vs_sra_name,name_reconciliation_priority
Cirsium bulgaricum,SAMN44017825,SRR30887196,SRX26291401,"Turkey: Kırklareli: 6-7 km from Dereköy to Bulgaria border, 550 m, 02.08.2007, Yıldız & Dirmenci, (BY-16520)",Outside_target_region,Turkey,linked_runinfo,outside_scope,exact,low
Cirsium buschianum,SAMN44017826,SRR30887270,SRX26291328,"Caucasus: Karachay-Cherkessia & Kabardino-Balkaria, 10.08.2016, Zernov A.S. 8460 (MW1004007)",Russia_other,Russia,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium candelabrum,SAMN44017827,SRR30887273,SRX26291329,"Serbia: Joegoslavië. Servië, Lovac, alt. 1100 m, 09.08.1977, J.C. Loon, E.G.B. Kieft 17401 (U.1109615)",Other_or_unresolved,Serbia,linked_runinfo,outside_scope,exact,low
Cirsium canescens,SAMN44017828,SRR30887268,SRX26291331,"U.S.A.: Wyoming, 07.07.2016, J Ackerfield 16-113 (CS)",Outside_target_region,USA,linked_runinfo,outside_scope,exact,low
Cirsium canum 2,SAMN34240267,SRR25265610,SRX21011607,"Czech Republic, 10.26.2014 (Pilsen Botanical Garden) (HB PLZEH)",Other_or_unresolved,Czech Republic,linked_runinfo,outside_scope,exact,low
Cirsium canum 1,SAMN34240268,SRR25265609,SRX21011608,"Turkey: Kahramanmaraş : 5 km from Göksun to Kahramanmaraş, 1350 m, 04.08.2016, Dirmenci & Arabaci, TD-4819",Outside_target_region,Turkey: Kahramanmara,linked_runinfo,outside_scope,exact,low
Cirsium caput-medusae,SAMN44017960,SRR30887217,SRX26291380,MA-01-00132629,Other_or_unresolved,Unknown,linked_runinfo,outside_scope,generic_reassignment_only,medium
Cirsium carniolicum,SAMN34240269,SRR25265608,SRX21011609,"Slovenia, Julijske Alpe, 07.06.1953, E. Mayer (WAG.1322540)",Other_or_unresolved,Slovenia: Julijske Alpe,linked_runinfo,outside_scope,exact,low
Cirsium cassium,SAMN44017829,SRR30887267,SRX26291332,"Turkey: Hatay: 6-7 km from Yayladağ to Antakya,900 m, 01.09.2006, Yıldız & Dirmenci, BY-16420",Outside_target_region,Turkey,linked_runinfo,outside_scope,exact,low
Cirsium caucasicum,SAMN34240270,SRR25265614,SRX21011610,"Turkey: Ardahan: 5 km from Damal to Posof, 2100 m, 17.08.2006, Yıldız & Dirmenci, BY-16329",Outside_target_region,Turkey: Ardahan,linked_runinfo,outside_scope,exact,low
Cirsium cephalotes,SAMN34240271,SRR25265607,SRX21011611,"Turkey: Erzurum: Between Aşkale and Bayburt, Kop mountain pass, 01.09.2018, Dirmenci & Arabaci, TD-5197",Outside_target_region,Turkey: Erzurum,linked_runinfo,outside_scope,generic_reassignment_only,medium
Cirsium chlorocomos,SAMN44017830,SRR30887266,SRX26291333,"Caucasus: Starvropol Krai, Karachay-Cherkessia & Kabardino-Balkaria, 19.08.1947, Orlov A. (MW0730653)",Russia_other,Russia,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium ciliatum,SAMN34240272,SRR25265605,SRX21011613,"Iran, Mazandaran, 08.25.1974, Wendelbo, Foroughi & Assadi 14067 (TARI).",Outside_target_region,Iran: Mazandaran,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium ciliatum subsp. szovitsii,SAMN44017831,SRR30887265,SRX26291334,"Turkey: Ardahan: 5 km from Göle to Ardahan, 2100 m, 17.08.2006, Yıldız & Dirmenci, BY-16307.",Outside_target_region,Turkey,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium cilicicum,SAMN44017832,SRR30887264,SRX26291335,"Turkey: Niğde, Ulukışla, between Alihoca and Maden villages, 1600 m, 07.07.2007, Dirmenci, TD-3447",Outside_target_region,Turkey,linked_runinfo,outside_scope,exact,low
Cirsium congdonii,SAMN34240273,SRR25265604,SRX21011614,"U.S.A., California, 06.09.2010, Fraga 3468 (RSA)",Outside_target_region,USA: California,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium sorocephalum subsp. congestum,SAMN34240274,SRR25265602,SRX21011615,"Turkmenistan, 08.26.1931, Borisova A. (MW0889871)",Other_or_unresolved,Turkmenistan,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium conspicuum,SAMN44017833,SRR30887263,SRX26291336,"Mexico.: Guerrero, Taxco, 28.05.1998, R Duran 2302 (MEXU)",Outside_target_region,Mexico,linked_runinfo,outside_scope,exact,low
Cirsium coryletorum,SAMN34240275,SRR25265601,SRX21011616,"Russia, Yu. Sikhote-Alin. 08.30.1944, Zhudova P., Pokrovskaya 3354 (MW0150743)",Russian_Far_East,Russia: Yu. Sikhote-Alin,linked_runinfo,northeast_asia_bridge,different_submitted_or_published_name,high
Cirsium crassicaule,SAMN44017834,SRR30887262,SRX26291337,"U.S.A.: California, 30.05.2004, Moe 2591 (RSA)",Outside_target_region,USA,linked_runinfo,outside_scope,exact,low
Cirsium creticum,SAMN34240276,SRR25265600,SRX21011617,"Turkey: Konya, between Kurucaova and Yenişarbademli, 1250 m, 12.09.2018, Dirmenci & Yıldız, TD-5233",Outside_target_region,Turkey: Konya,linked_runinfo,outside_scope,exact,low
Cirsium davisianum,SAMN34240277,SRR25265603,SRX21011618,"Turkey: Kop mountain pass, 4.3 km from Erzurum-Bayburt road to Kop mountain, 2537 m, 09.08.2017, Dirmenci & Arabaci, TD-4900",Outside_target_region,Turkey: Erzurum,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium dealbatum,SAMN44017835,SRR30887261,SRX26291338,"Caucasus: Krasnodar Krai & Adygea, 07.09.1947, Orlov A. (MW0730677)",Russia_other,Russia,linked_runinfo,outside_scope,exact,low
Cirsium decussatum,SAMN34240278,SRR25265599,SRX21011619,"Russia, Moscow region, 08.14.1957, G. Zagorodnyaya, N. Kurchenko, Ya. Starobogatov, V. Tikhomirov, N. Shvedchikova 2014 (1) (MW0409871)",Russia_other,Russia: Moscow region,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium latifolium 1,SAMN44017962,SRR30887214,SRX26291382,Madeira,Other_or_unresolved,Portugal: Madeira,linked_runinfo,outside_scope,exact,low
Cirsium dipsacolepis,SAMN44017836,SRR30887259,SRX26291339,"Japan. SHIKOKU: Tokushima Pref.; Mt. shiozuka-mine, Kamimyo, Yamashiro-cho, Miyoshi-gun., , m, 7 Oct. 1989, Yutaka Oohira142102-a (MBK-0312393)",Japan,Japan: SHIKOKU,linked_runinfo,core_east_asia,exact,low
Cirsium dirmilense,SAMN44017837,SRR30887258,SRX26291340,"Turkey: Antalya, Kemer, Ovacık village, 1200 m, 18.08.2017, Dirmenci, TD-4953",Outside_target_region,Turkey,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium discolor,SAMN44017963,SRR30887213,SRX26291383,"USA: Maryland, Beltsville, 28.08.1950, Petrak F, 510 (W0154052)",Outside_target_region,USA,linked_runinfo,outside_scope,exact,low
Cirsium dissectum,SAMN34240282,SRR25265719,SRX21011498,"Netherlands, Neerlandica, 07.10.1972, G. Zijlstra 72150 (U.1114824)",Other_or_unresolved,Netherlands: Neerlandica,linked_runinfo,outside_scope,exact,low
Cirsium domonii,SAMN34240283,SRR25265717,SRX21011499,"Japan, Honshu, 10.30.2008, Takeo Kuramata s.n. (MBK-0304890)",Japan,Japan: Honshu,linked_runinfo,core_east_asia,exact,low
Cirsium douglasii,SAMN44017838,SRR30887260,SRX26291342,"U.S.A.: Nevada, 15.07.2001, A Tiehm 13690 (RENO)",Outside_target_region,USA,linked_runinfo,outside_scope,exact,low
Cirsium ducellieri,SAMN44017964,SRR30887216,SRX26291384,,Other_or_unresolved,Unknown,linked_runinfo,outside_scope,exact,low
Cirsium dyris,SAMN44017839,SRR30887191,SRX26291406,"Marruecos: unos 8 km al SE de Tamda (Beni-Mellal) MARRUECOS, 29RQR5416, 2625, 13/07/2006, F. Gómiz (BC866383)",Outside_target_region,Morocco,linked_runinfo,outside_scope,exact,low
